time,queue-0,queue-1,max,min,avg,std
0,23,23,23,23,      23.00,       0.00
1800,737,737,737,737,     737.00,       0.00
3600,878,878,878,878,     878.00,       0.00
5400,1060,1060,1060,1060,    1060.00,       0.00
7200,1103,1103,1103,1103,    1103.00,       0.00
9000,1106,1106,1106,1106,    1106.00,       0.00
10800,1120,1120,1120,1120,    1120.00,       0.00
12600,1123,1123,1123,1123,    1123.00,       0.00
16200,1124,1124,1124,1124,    1124.00,       0.00
18000,1126,1126,1126,1126,    1126.00,       0.00
27000,1128,1128,1128,1128,    1128.00,       0.00
34200,1131,1131,1131,1131,    1131.00,       0.00
39600,1139,1139,1139,1139,    1139.00,       0.00
63000,1156,1156,1156,1156,    1156.00,       0.00
64800,1180,1180,1180,1180,    1180.00,       0.00
86400,1180,1180,1180,1180,    1180.00,       0.00
